Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Roberts-Glover,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,3/15/2024,Services,Churned Customer,7,,,317,2/8/1900,9/15/2024,7/13/2024
Bauch Group,Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Sarah Davis,1/17/2024,SAAS,Churned Customer,7,,,1813,2/8/1900,3/28/2024,1/24/2024
"Reynolds, Kunze and Christiansen",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),David Wilson,1/24/2024,Services,Churned Customer,7,,,1515,2/8/1900,10/22/2024,2/3/2024
"Skiles, Koepp and Walter",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,4/19/2024,SAAS,Churned Customer,7,,,1569,2/18/1900,11/5/2024,5/21/2024
Hermiston and Sons,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Sarah Davis,5/6/2024,Custom solution,Churned Customer,7,,,405,2/8/1900,4/9/2025,6/7/2024
Roberts-Stracke,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,5/30/2024,SAAS,Churned Customer,7,,,1456,2/28/1900,8/3/2024,6/6/2024
"Frami, Gerlach and Sporer",France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),David Wilson,5/7/2024,Services,Churned Customer,7,,,217,3/30/1900,8/4/2024,8/22/2024
Schumm-Block,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,2/28/2024,Services,Churned Customer,7,,,426,2/8/1900,12/17/2024,4/10/2024
"Beahan, Nitzsche and Williamson",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,4/25/2024,SAAS,Churned Customer,7,,,1846,2/28/1900,4/19/2025,7/31/2024
"Bergstrom, Kling and Mayer",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Michael Brown,4/19/2024,SAAS,Churned Customer,7,,,1515,2/8/1900,1/25/2025,7/12/2024
"Stroman, Ritchie and Toy",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Sarah Davis,2/21/2024,Services,Churned Customer,7,,,1007,1/19/1900,10/6/2024,4/1/2024
"Williamson, Smitham and Muller",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Kevin Anderson,5/3/2024,Services,Churned Customer,7,,,1895,3/20/1900,2/20/2025,5/14/2024
Kub-Brown,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Jessica Martinez,3/27/2024,Services,Churned Customer,7,,,748,2/18/1900,8/30/2024,7/16/2024
Medhurst Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,1/5/2024,SAAS,Churned Customer,7,,,726,1/9/1900,6/13/2024,3/20/2024
Murray-Lehner,Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,2/12/2024,SAAS,Churned Customer,7,,,634,2/28/1900,3/30/2024,2/27/2024
"McLaughlin, Effertz and Swift",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2/19/2024,Custom solution,Churned Customer,7,,,586,2/28/1900,11/1/2024,6/13/2024
Shields LLC,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Sarah Davis,5/13/2024,Services,Churned Customer,7,,,1936,1/19/1900,12/17/2024,8/22/2024
Koch Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,3/21/2024,Custom solution,Churned Customer,7,,,1620,2/8/1900,8/24/2024,5/13/2024
Langosh Group,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Kevin Anderson,2/4/2024,SAAS,Churned Customer,7,,,287,1/9/1900,12/5/2024,2/14/2024
"Wiegand, Friesen and Ortiz",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Jessica Martinez,5/15/2024,Custom solution,Churned Customer,7,,,1828,2/18/1900,10/7/2024,8/29/2024
Ward-Schinner,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Laura Thompson,2/15/2024,SAAS,Churned Customer,7,,,453,2/8/1900,12/3/2024,4/26/2024
"Kub, Hintz and Simonis",France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,3/30/2024,Services,Churned Customer,7,,,835,3/10/1900,8/14/2024,5/23/2024
Greenfelder-Klocko,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,2/27/2024,SAAS,Churned Customer,7,,,1924,1/29/1900,3/19/2024,6/18/2024
"Rice, Walker and Hermiston",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,1/17/2024,SAAS,Churned Customer,7,,,1020,1/19/1900,5/31/2024,3/26/2024
"Frami, Brekke and Crooks",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),David Wilson,4/30/2024,SAAS,Churned Customer,7,,,543,1/29/1900,6/21/2024,7/12/2024
"Cassin, Windler and Friesen",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,3/28/2024,SAAS,Churned Customer,7,,,1984,1/19/1900,12/31/2024,5/29/2024
"Greenfelder, O'Reilly and Dietrich",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Emily Johnson,1/19/2024,SAAS,Churned Customer,7,,,349,2/18/1900,4/22/2024,2/7/2024
"Kris, Brekke and Gulgowski",Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),Michael Brown,1/7/2024,SAAS,Churned Customer,7,,,1790,3/30/1900,12/14/2024,2/13/2024
Adams and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,2/13/2024,SAAS,Churned Customer,7,,,1606,2/8/1900,11/1/2024,5/9/2024
"Kunze, O'Reilly and Von",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,4/8/2024,SAAS,Churned Customer,7,,,716,2/8/1900,3/11/2025,7/13/2024
Rempel and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,1/25/2024,SAAS,Churned Customer,7,,,1883,1/19/1900,10/13/2024,4/17/2024
Smitham-Sipes,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,1/6/2024,Services,Churned Customer,7,,,233,1/9/1900,11/12/2024,2/10/2024
Krajcik-Tromp,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Laura Thompson,5/6/2024,SAAS,Churned Customer,7,,,854,2/28/1900,12/28/2024,8/10/2024
"Gusikowski, Erdman and Ryan",Italy,41.902782,12.496366,Education & Science,Small (11-200),Jessica Martinez,5/21/2024,Services,Churned Customer,7,,,1249,3/20/1900,3/17/2025,6/29/2024
"Renner, Bashirian and Lind",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,3/21/2024,SAAS,Churned Customer,7,,,1125,1/29/1900,4/12/2024,6/2/2024
"Spencer, Jerde and Green",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,5/27/2024,SAAS,Churned Customer,7,,,1411,2/8/1900,3/23/2025,8/29/2024
Maggio-Reynolds,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,2/3/2024,SAAS,Churned Customer,7,,,1503,1/29/1900,1/3/2025,4/19/2024
Blognation,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,5/31/2024,Custom solution,Churned Customer,7,,,206,3/20/1900,10/10/2024,6/17/2024
Dablist,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Kevin Anderson,1/11/2024,SAAS,Churned Customer,7,,,956,4/9/1900,4/26/2024,3/7/2024
Meedoo,Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,4/9/2024,SAAS,Churned Customer,7,,,668,2/8/1900,9/5/2024,4/27/2024
Runte Group,Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Kevin Anderson,5/8/2024,Services,Churned Customer,7,,,721,1/29/1900,2/22/2025,7/20/2024
VonRueden Inc,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,3/3/2024,Services,Churned Customer,7,,,320,1/19/1900,10/21/2024,3/23/2024
Treutel-Willms,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,5/17/2024,Custom solution,Churned Customer,7,,,1074,3/30/1900,12/21/2024,8/15/2024
"Medhurst, Weber and Waters",Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),John Smith,2/15/2024,SAAS,Churned Customer,7,,,480,3/10/1900,2/7/2025,5/13/2024
Hansen LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),Laura Thompson,1/5/2024,Services,Churned Customer,7,,,392,1/19/1900,1/26/2024,3/13/2024
Bechtelar-Heidenreich,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Michael Brown,3/25/2024,Services,Churned Customer,7,,,846,2/8/1900,8/27/2024,6/2/2024
"Rosenbaum, Breitenberg and Langworth",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Emily Johnson,4/30/2024,SAAS,Churned Customer,7,,,968,2/18/1900,1/24/2025,8/3/2024
Kunde Group,Spain,40.416775,-3.703790,Agriculture & Mining,Micro (1-10),Laura Thompson,1/4/2024,Services,Churned Customer,7,,,1068,2/8/1900,11/12/2024,3/18/2024
Abernathy and Sons,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Laura Thompson,3/27/2024,Services,Churned Customer,7,,,617,1/29/1900,12/2/2024,4/1/2024
"Erdman, Wilkinson and Stracke",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,1/4/2024,Services,Churned Customer,7,,,888,1/29/1900,5/8/2024,2/4/2024
"Bogisich, Denesik and Crona",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Michael Brown,4/15/2024,Custom solution,Churned Customer,7,,,364,1/29/1900,5/29/2024,8/12/2024
Davis-Schuppe,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Jessica Martinez,4/15/2024,Services,Churned Customer,7,,,856,2/28/1900,9/29/2024,7/11/2024
Huel-Dooley,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Sarah Davis,2/10/2024,SAAS,Churned Customer,7,,,555,2/8/1900,7/27/2024,3/18/2024
Bergstrom LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,4/4/2024,Services,Churned Customer,7,,,1035,3/10/1900,8/20/2024,7/25/2024
"Considine, Collins and Hudson",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,2/25/2024,SAAS,Churned Customer,7,,,566,1/29/1900,12/9/2024,6/1/2024
Kunde-Lindgren,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,1/18/2024,Services,Churned Customer,7,,,722,3/30/1900,11/4/2024,5/3/2024
Crooks Group,France,48.864716,2.349014,Telecommunications,Micro (1-10),Laura Thompson,1/16/2024,Services,Churned Customer,7,,,1000,3/20/1900,4/15/2024,2/3/2024
O'Conner Group,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,2/18/2024,Custom solution,Churned Customer,7,,,898,2/28/1900,3/27/2024,4/13/2024
Bogan-Goyette,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,5/23/2024,Services,Churned Customer,7,,,786,1/29/1900,12/3/2024,9/10/2024
"Hilll, Runolfsdottir and Barrows",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,2/23/2024,SAAS,Churned Customer,7,,,843,2/8/1900,6/29/2024,6/16/2024
"Lubowitz, McClure and Hettinger",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Kevin Anderson,5/1/2024,SAAS,Churned Customer,7,,,608,1/19/1900,3/16/2025,8/20/2024
Herman LLC,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,1/5/2024,Services,Churned Customer,7,,,285,1/19/1900,7/16/2024,1/22/2024
Bednar-Schuppe,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Jessica Martinez,3/15/2024,Custom solution,Churned Customer,7,,,950,1/19/1900,12/25/2024,7/6/2024
Reynolds-Olson,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Jessica Martinez,4/6/2024,SAAS,Churned Customer,7,,,1095,2/8/1900,9/20/2024,4/6/2024
"Jacobi, Johnson and Harris",France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Laura Thompson,5/21/2024,Services,Churned Customer,7,,,668,3/30/1900,8/20/2024,8/7/2024
Beatty Group,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,1/26/2024,Services,Churned Customer,7,,,993,2/18/1900,9/29/2024,2/14/2024
"Hettinger, Kuhic and Dooley",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),John Smith,2/7/2024,SAAS,Churned Customer,7,,,670,2/18/1900,4/9/2024,4/1/2024
O'Kon-Fay,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,2/13/2024,SAAS,Churned Customer,7,,,442,1/19/1900,9/8/2024,5/24/2024
Leuschke LLC,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,1/31/2024,Custom solution,Churned Customer,7,,,375,3/10/1900,7/16/2024,3/13/2024
"Dooley, Stracke and Wiegand",Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Kevin Anderson,2/28/2024,SAAS,Churned Customer,7,,,258,2/8/1900,1/12/2025,4/19/2024
Heathcote-Ryan,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,4/26/2024,SAAS,Churned Customer,7,,,663,2/8/1900,2/17/2025,5/29/2024
"Leuschke, Mohr and Rolfson",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,3/11/2024,Services,Churned Customer,7,,,1039,3/10/1900,12/13/2024,6/14/2024
Reinger and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,1/13/2024,SAAS,Churned Customer,7,,,991,2/8/1900,4/30/2024,3/26/2024
Klocko Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,1/6/2024,SAAS,Churned Customer,7,,,820,1/19/1900,10/24/2024,2/9/2024
"Koch, Kerluke and Kuphal",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Laura Thompson,2/20/2024,SAAS,Churned Customer,7,,,884,4/9/1900,1/10/2025,4/3/2024
Wolf Inc,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),Sarah Davis,2/22/2024,Custom solution,Churned Customer,7,,,1057,2/28/1900,2/7/2025,6/14/2024
Hoeger-Jakubowski,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Jessica Martinez,5/30/2024,Services,Churned Customer,7,,,654,1/19/1900,11/2/2024,8/23/2024
Ziemann LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,1/17/2024,SAAS,Churned Customer,7,,,913,2/18/1900,3/13/2024,2/19/2024
Flashspan,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),John Smith,4/25/2024,SAAS,Churned Customer,7,,,5555,2/18/1900,2/28/2025,4/30/2024
Wordpedia,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,4/21/2024,Custom solution,Churned Customer,7,,,5916,1/9/1900,10/13/2024,6/9/2024
Quaxo,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2/26/2024,Services,Churned Customer,7,,,1352,1/19/1900,6/16/2024,4/25/2024
Skivee,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Jessica Martinez,5/4/2024,Custom solution,Churned Customer,7,,,7313,3/30/1900,5/31/2024,8/21/2024
BlogXS,Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Jessica Martinez,5/13/2024,Custom solution,Churned Customer,7,,,481,2/18/1900,6/7/2024,6/21/2024
Buzzster,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,2/23/2024,Services,Churned Customer,7,,,5122,1/19/1900,7/31/2024,3/23/2024
Wyman-Goodwin,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,2/1/2024,SAAS,Churned Customer,7,,,7898,1/29/1900,9/5/2024,3/2/2024
Cruickshank-Weimann,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,3/18/2024,Custom solution,Churned Customer,7,,,5718,1/29/1900,8/3/2024,6/8/2024
Schaden-Bode,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),David Wilson,2/10/2024,Services,Churned Customer,7,,,2849,3/30/1900,9/15/2024,2/16/2024
Walker LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,1/12/2024,Services,Churned Customer,7,,,3612,2/8/1900,7/24/2024,4/2/2024
"Tremblay, Lebsack and Gerhold",Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Jessica Martinez,4/5/2024,SAAS,Churned Customer,7,,,1333,1/19/1900,6/28/2024,6/1/2024
O'Reilly-Ferry,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,1/18/2024,Services,Churned Customer,7,,,2367,1/19/1900,1/7/2025,5/12/2024
Bartoletti-Aufderhar,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),David Wilson,4/7/2024,Services,Churned Customer,7,,,3651,2/8/1900,7/28/2024,4/12/2024
Kiehn-Kshlerin,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2/23/2024,SAAS,Churned Customer,7,,,1647,1/9/1900,1/1/2025,5/24/2024
Haley Group,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),John Smith,2/18/2024,SAAS,Churned Customer,7,,,3098,2/8/1900,11/12/2024,3/1/2024
"Hegmann, Larkin and Bednar",France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Kevin Anderson,2/15/2024,Services,Churned Customer,7,,,7604,2/8/1900,11/14/2024,3/2/2024
"Lynch, Kihn and Bartell",Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Kevin Anderson,3/3/2024,Services,Churned Customer,7,,,3858,2/18/1900,6/20/2024,4/1/2024
"Schinner, Bogisich and Batz",Austria,48.210033,16.363449,Education & Science,Medium (201-500),Emily Johnson,1/12/2024,SAAS,Churned Customer,7,,,785,3/10/1900,7/17/2024,4/14/2024
Grimes and Sons,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/20/2024,SAAS,Churned Customer,7,,,4410,2/8/1900,6/10/2024,3/7/2024
"VonRueden, Gerlach and Schiller",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Laura Thompson,4/10/2024,Services,Churned Customer,7,,,3455,4/9/1900,12/11/2024,6/11/2024
"Heller, Effertz and Tromp",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Laura Thompson,2/14/2024,SAAS,Churned Customer,7,,,7486,2/8/1900,12/22/2024,5/11/2024
Emard-Lind,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Michael Brown,3/3/2024,Services,Churned Customer,7,,,4521,3/30/1900,12/12/2024,3/6/2024
O'Hara-Wyman,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),David Wilson,5/30/2024,SAAS,Churned Customer,7,,,1641,1/19/1900,7/9/2024,9/6/2024
Tillman-Greenholt,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,1/2/2024,SAAS,Churned Customer,7,,,3545,2/8/1900,7/13/2024,4/27/2024
Powlowski LLC,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,5/18/2024,SAAS,Churned Customer,7,,,5862,2/28/1900,9/27/2024,7/6/2024
O'Reilly-Stanton,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Kevin Anderson,3/17/2024,Services,Churned Customer,7,,,6124,1/19/1900,6/28/2024,7/5/2024
O'Reilly-Bruen,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,2/5/2024,Services,Churned Customer,7,,,2002,1/29/1900,12/23/2024,3/20/2024
Kirlin and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/2/2024,Services,Churned Customer,7,,,3182,1/19/1900,5/5/2024,3/3/2024
MacGyver LLC,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Jessica Martinez,2/4/2024,SAAS,Churned Customer,7,,,7019,1/29/1900,3/2/2024,5/12/2024
Lemke-Crooks,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,4/17/2024,SAAS,Churned Customer,7,,,2816,3/10/1900,8/4/2024,5/18/2024
"Hirthe, Grady and Cummings",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Emily Johnson,5/24/2024,SAAS,Churned Customer,7,,,734,2/8/1900,8/4/2024,8/27/2024
Crooks-Wiza,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,3/23/2024,SAAS,Churned Customer,7,,,7204,1/19/1900,11/22/2024,6/24/2024
"Ortiz, Bashirian and Pfannerstill",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,4/1/2024,SAAS,Churned Customer,7,,,2921,2/28/1900,2/13/2025,6/2/2024
"Orn, Blanda and Oberbrunner",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,3/9/2024,Services,Churned Customer,7,,,2653,2/18/1900,1/31/2025,5/30/2024
Boyle Inc,France,48.864716,2.349014,Telecommunications,Medium (201-500),Sarah Davis,5/29/2024,Custom solution,Churned Customer,7,,,4849,1/29/1900,7/20/2024,7/23/2024
"Rodriguez, Little and Jast",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,3/28/2024,Custom solution,Churned Customer,7,,,1092,2/8/1900,1/2/2025,7/13/2024
Bosco LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,5/10/2024,Custom solution,Churned Customer,7,,,5902,2/18/1900,4/29/2025,7/27/2024
Bergnaum LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,5/4/2024,Custom solution,Churned Customer,7,,,625,2/8/1900,10/4/2024,8/3/2024
"Corkery, Block and Frami",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,2/1/2024,Services,Churned Customer,7,,,7655,2/28/1900,3/31/2024,4/27/2024
"Auer, Bogisich and Kovacek",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,4/14/2024,Custom solution,Churned Customer,7,,,7270,1/29/1900,10/3/2024,7/26/2024
Jones and Sons,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Emily Johnson,1/12/2024,Custom solution,Churned Customer,7,,,6482,3/30/1900,1/3/2025,3/24/2024
"Wilderman, Bayer and Hickle",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,1/10/2024,Services,Churned Customer,7,,,3196,1/29/1900,5/21/2024,3/21/2024
"Rutherford, Lueilwitz and Frami",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Michael Brown,2/1/2024,Services,Churned Customer,7,,,5812,3/30/1900,12/25/2024,3/28/2024
Lang LLC,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),John Smith,1/20/2024,SAAS,Churned Customer,7,,,2015,4/9/1900,1/2/2025,2/5/2024
Auer Group,Spain,40.416775,-3.703790,Agriculture & Mining,Medium (201-500),Laura Thompson,1/12/2024,Services,Churned Customer,7,,,3580,1/29/1900,5/29/2024,2/24/2024
"Hilll, Jacobi and Cormier",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),John Smith,3/1/2024,SAAS,Churned Customer,7,,,1985,2/28/1900,1/26/2025,6/1/2024
Reinger LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Kevin Anderson,2/17/2024,Services,Churned Customer,7,,,7799,2/28/1900,6/21/2024,2/25/2024
"Heaney, Hickle and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,5/1/2024,Services,Churned Customer,7,,,1142,2/18/1900,12/5/2024,7/17/2024
